"id","Name","sex","Age","height","weight","team","noc","games","Year","season","city","sport","Event","medal"
903,Carolyn Adel,F,"17","163","52",Suriname,SUR,"1996 Summer",1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,NA
903,Carolyn Adel,F,"17","163","52",Suriname,SUR,"1996 Summer",1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,NA
903,Carolyn Adel,F,"17","163","52",Suriname,SUR,"1996 Summer",1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,NA
903,Carolyn Adel,F,"22","163","52",Suriname,SUR,"2000 Summer",2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,NA
903,Carolyn Adel,F,"22","163","52",Suriname,SUR,"2000 Summer",2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,NA
904,Gun Margareta del (-Nilsson),F,"25","163","52",Sweden,SWE,"1964 Winter",1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,NA
904,Gun Margareta del (-Nilsson),F,"25","163","52",Sweden,SWE,"1964 Winter",1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
905,Alberto Adela,M,NA,NA,NA,Philippines,PHI,"1956 Summer",1956,Summer,Melbourne,Boxing,Boxing Men's Bantamweight,NA
906,Peter Adelaar,M,"33","213","135",Netherlands,NED,"1980 Summer",1980,Summer,Moskva,Judo,Judo Men's Heavyweight,NA
906,Peter Adelaar,M,"33","213","135",Netherlands,NED,"1980 Summer",1980,Summer,Moskva,Judo,Judo Men's Open Class,NA
907,Irfan Adelbi,M,"38","185","90",Jordan,JOR,"1984 Summer",1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,NA
908,"Ayodele ""Dele"" Adeleye",M,"19","190","80",Nigeria,NGR,"2008 Summer",2008,Summer,Beijing,Football,Football Men's Football,Silver
909,Andr Adelheim,M,"22","177","70",France,FRA,"1928 Summer",1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,NA
909,Andr Adelheim,M,"26","177","70",France,FRA,"1932 Summer",1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,NA
910,"Hugh Jean ""Danny"" Adeline",M,"28",NA,NA,Seychelles,SEY,"1992 Summer",1992,Summer,Barcelona,Sailing,Sailing Men's Windsurfer,NA
911,Antoine Adelisse,M,"17","178","65",France,FRA,"2014 Winter",2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,NA
912,Beatrice Adelizzi,F,"19","175","67",Italy,ITA,"2008 Summer",2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
913,Marcel Louis Ernest Alfred Charles Albert Adelon,M,"38",NA,NA,France,FRA,"1924 Summer",1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Single Shot",NA
913,Marcel Louis Ernest Alfred Charles Albert Adelon,M,"38",NA,NA,France,FRA,"1924 Summer",1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Double Shot",NA
914,Lambert Adelot,M,"29",NA,NA,Belgium,BEL,"1928 Summer",1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,NA
914,Lambert Adelot,M,"38",NA,NA,Belgium,BEL,"1936 Summer",1936,Summer,Berlin,Hockey,Hockey Men's Hockey,NA
915,Abrar Osman Adem,M,"18","168","58",Eritrea,ERI,"2012 Summer",2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",NA
915,Abrar Osman Adem,M,"22","168","58",Eritrea,ERI,"2016 Summer",2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
916,Biko Adema,M,"28","177","85",Kenya,KEN,"2016 Summer",2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,NA
917,Joost Adema,M,"24","202","91",Netherlands,NED,"1984 Summer",1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,NA
918,Ademir Roque Kaefer,M,"24","179","74",Brazil,BRA,"1984 Summer",1984,Summer,Los Angeles,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,M,"28","179","74",Brazil,BRA,"1988 Summer",1988,Summer,Seoul,Football,Football Men's Football,Silver
919,Hoche Yaya Aden,M,"21","180","47",Djibouti,DJI,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",NA
920,Ibrahim Mohamed Aden Gedi,M,"23","178","75",Somalia,SOM,"1996 Summer",1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,NA
920,Ibrahim Mohamed Aden Gedi,M,"27","178","75",Somalia,SOM,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",NA
921,Jama Awil Aden,M,"23","176","69",Somalia,SOM,"1972 Summer",1972,Summer,Munich,Athletics,Athletics Men's Marathon,NA
922,Jama Mohamed Aden,M,"21","180","68",Somalia,SOM,"1984 Summer",1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,NA
922,Jama Mohamed Aden,M,"21","180","68",Somalia,SOM,"1984 Summer",1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",NA
922,Jama Mohamed Aden,M,"26","180","68",Somalia,SOM,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",NA
923,Olapade Charles Adeniken,M,"19","186","78",Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
923,Olapade Charles Adeniken,M,"19","186","78",Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
923,Olapade Charles Adeniken,M,"19","186","78",Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
923,Olapade Charles Adeniken,M,"22","186","78",Nigeria,NGR,"1992 Summer",1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
923,Olapade Charles Adeniken,M,"22","186","78",Nigeria,NGR,"1992 Summer",1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,NA
923,Olapade Charles Adeniken,M,"22","186","78",Nigeria,NGR,"1992 Summer",1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
923,Olapade Charles Adeniken,M,"26","186","78",Nigeria,NGR,"1996 Summer",1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,NA
924,Aminat Oluwafunmilayo Adeniyi,F,"23","165","58",Nigeria,NGR,"2016 Summer",2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",NA
925,Adenzia Aparecida Ferreira da Silva,F,"25","187","65",Brazil,BRA,"2012 Summer",2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
925,Adenzia Aparecida Ferreira da Silva,F,"29","187","65",Brazil,BRA,"2016 Summer",2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,NA
926,Esau Adenji,M,"24","177","70",Cameroon,CMR,"1968 Summer",1968,Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",NA
926,Esau Adenji,M,"28","177","70",Cameroon,CMR,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres",NA
926,Esau Adenji,M,"28","177","70",Cameroon,CMR,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
927,Margaret Adetutu Adeoye,F,"27","162","65",Great Britain,GBR,"2012 Summer",2012,Summer,London,Athletics,Athletics Women's 200 metres,NA
928,Alfred Ader,M,"31","166","60",Poland,POL,"1924 Summer",1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",NA
929,Berhane Adere Debala,F,"22","170","50",Ethiopia,ETH,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",NA
929,Berhane Adere Debala,F,"27","170","50",Ethiopia,ETH,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",NA
929,Berhane Adere Debala,F,"35","170","50",Ethiopia,ETH,"2008 Summer",2008,Summer,Beijing,Athletics,Athletics Women's Marathon,NA
930,Hanns Aderhold,M,"33",NA,NA,Germany,GER,"1952 Summer",1952,Summer,Helsinki,Diving,Diving Men's Springboard,NA
931,Nyakisi Adero,F,"30",NA,NA,Uganda,UGA,"2016 Summer",2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
932,Ademola Adeshina,M,"24",NA,NA,Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Football,Football Men's Football,NA
933,Adsio Alves Machado,M,"19",NA,NA,Brazil,BRA,"1952 Summer",1952,Summer,Helsinki,Football,Football Men's Football,NA
934,Adeoye Adetunji,M,"22","174","71",Nigeria,NGR,"1980 Summer",1980,Summer,Moskva,Boxing,Boxing Men's Light-Middleweight,NA
935,Adevaldo Virglio Netto,M,"21",NA,NA,Brazil,BRA,"1964 Summer",1964,Summer,Tokyo,Football,Football Men's Football,NA
936,Isiaq Adeyanju,M,"24","162","65",Nigeria,NGR,"1984 Summer",1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
936,Isiaq Adeyanju,M,"28","162","65",Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
936,Isiaq Adeyanju,M,"28","162","65",Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
936,Isiaq Adeyanju,M,"28","162","65",Nigeria,NGR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
937,Fatai Adeyemo,M,NA,NA,NA,Nigeria-2,NGR,"1988 Summer",1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,NA
938,Cary Glen Adgate,M,"22","173","74",United States,USA,"1976 Winter",1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
938,Cary Glen Adgate,M,"22","173","74",United States,USA,"1976 Winter",1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
938,Cary Glen Adgate,M,"26","173","74",United States,USA,"1980 Winter",1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
939,Kamal Bahadur Adhikari,M,"31","163","69",Nepal,NEP,"2008 Summer",2008,Summer,Beijing,Weightlifting,Weightlifting Men's Lightweight,NA
940,David Adiele,M,"25","174",NA,Nigeria,NGR,"1980 Summer",1980,Summer,Moskva,Football,Football Men's Football,NA
941,Paul Adiga,M,"20","176","74",Uganda,UGA,"1972 Summer",1972,Summer,Munich,Hockey,Hockey Men's Hockey,NA
942,Moriam Seun Adigun,F,"25","153","52",Nigeria,NGR,"2012 Summer",2012,Summer,London,Athletics,Athletics Women's 100 metres Hurdles,NA
943,Arman Adikyan,M,"23","168","66",Armenia,ARM,"2008 Summer",2008,Summer,Beijing,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",NA
